id	X.id	X.type	type	name	flat	details.description	details.numberOfClasses	details.categories	details.hasOntologyLanguage	details.released	details.creationDate	details.homepage	details.publication	details.documentation	details.version	details.metricsAvailable	details.hasSubmissions
MATRCOMPOUND	https://data.bioontology.org/ontologies/MATRCOMPOUND	http://data.bioontology.org/metadata/Ontology	Ontology	Material Compound	FALSE	Material Compound details from SWEET ontology	8	Upper Level Ontology	OWL	2016-01-08T00:00:00+00:00	2016-01-07T12:50:34-08:00				2.3	TRUE	TRUE
AGRO	https://data.bioontology.org/ontologies/AGRO	http://data.bioontology.org/metadata/Ontology	Ontology	AGRonomy Ontology	FALSE	AGRO, the AGRonomy Ontology, describes agronomic practices, agronomic techniques, and agronomic variables used in agronomic experiments. AGRO is being built using traits identified by agronomists, the ICASA variables, and other existing ontologies such as ENVO, UO, and PATO, IAO, and CHEBI. Further, AGRO will power an Agronomy Management System and fieldbook modeled on a CGIAR Breeding Management System to capture agronomic data.	2268		OWL	2021-07-01T18:00:09-07:00						TRUE	TRUE
CST	https://data.bioontology.org/ontologies/CST	http://data.bioontology.org/metadata/Ontology	Ontology	Cancer Staging Terms	FALSE	This ontology consists of cancer staging terms that specify higher-level terms that are useful in classifying cancer, specifically breast cancer, according to the AJCC 7th and 8th editions.	0		OWL	2021-03-08T00:00:00+00:00	2021-03-08T08:33:15-08:00					FALSE	FALSE
HEIO	https://data.bioontology.org/ontologies/HEIO	http://data.bioontology.org/metadata/Ontology	Ontology	Regional Healthcare System Interoperability and Information Exchange Measurement Ontology	FALSE	"The purpose of this ontology is to develop a model for regional healthcare system interoperability and information exchange quantification (measured by the electronic health information exchange (eHIE) indicator). The eHIE is hypothesized as a leading measure of regional healthcare system integration.
A publication associated with this ontology is currently under review. "	125	Other	OWL	2015-04-09T00:00:00+00:00	2015-04-17T07:27:05-07:00				Version 1.15	TRUE	TRUE
GAMUTS	https://data.bioontology.org/ontologies/GAMUTS	http://data.bioontology.org/metadata/Ontology	Ontology	Radiology Gamuts Ontology	FALSE	"In radiology, a ""gamut"" is the set of conditions that can cause a specified imaging finding.  The Radiology Gamuts Ontology (RGO) links more than 16,000 diseases and imaging findings.  The causal relation (may_cause; inverse, may_be_caused_by) connects findings and possible causes.

This work is made available under provisions of the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0) license."	18001	Imaging|Health|Human	OWL	2018-10-15T00:00:00+00:00	2018-10-29T14:00:28-07:00	https://www.gamuts.net/	https://www.gamuts.net/about.php	https://www.gamuts.net/about.php	0.91	TRUE	TRUE
EGO	https://data.bioontology.org/ontologies/EGO	http://data.bioontology.org/metadata/Ontology	Ontology	Epigenome Ontology	FALSE	The Epigenome Ontology (EGO) a biomedical ontology for integrative epigenome knowledge representation and data analysis.	2952	Molecule|Health|Genomic and Proteomic	OWL	2016-06-30T00:00:00+00:00	2016-07-03T16:00:59-07:00	https://github.com/EGO-ontology			Arbor version; 1.0.1	TRUE	TRUE
ISO19115ROLES	https://data.bioontology.org/ontologies/ISO19115ROLES	http://data.bioontology.org/metadata/Ontology	Ontology	ISO 19115 Role Codes	FALSE	Role Codes for use in ISO 19115-1:2014 metadata	2		SKOS	2015-09-10T00:00:00+00:00	2017-12-02T08:27:35-08:00			http://geosciml.org/doc/vocabularies	2.0	TRUE	TRUE
IDO	https://data.bioontology.org/ontologies/IDO	http://data.bioontology.org/metadata/Ontology	Ontology	Infectious Disease Ontology	FALSE	"The IDO ontologies are designed as a set of interoperable ontologies that will together provide coverage of the infectious disease domain. At the core of the set is a general Infectious Disease Ontology (IDO-Core) of entities relevant to both biomedical and clinical aspects of most infectious diseases. Sub-domain specific extensions of IDO-Core complete the set providing ontology coverage of entities relevant to specific pathogens or diseases. 

<br><br>
To import,<br>
Latest version: <a href=""http://purl.obolibrary.org/obo/ido.owl"">http://purl.obolibrary.org/obo/ido.owl</a><br>
This version (2010-12-02): <a href=""http://purl.obolibrary.org/obo/ido/2010-12-02/ido.owl"">http://purl.obolibrary.org/obo/ido/2010-12-02/ido.owl</a><br>
Previous  versions:<br>
2010-05-26 <a href=""http://purl.obolibrary.org/obo/ido/2010-05-26/ido.owl"">http://purl.obolibrary.org/obo/ido/2010-05-26/ido.owl</a><br>
2009-08-14 <a href=""http://purl.obolibrary.org/obo/ido/2009-08-14/ido.owl"">http://purl.obolibrary.org/obo/ido/2009-08-14/ido.owl</a><br>
<br>
<br>
Latest release notes at <a href=""http://infectiousdiseaseontology.org/page/Download"">http://infectiousdiseaseontology.org/page/Download</a><br>

Please note: The ontology metrics displayed by BioPortal do not distinguish IDO-developed terms from terms imported from other ontologies."	362	All Organisms|Health	OWL	2017-11-03T00:00:00+00:00	2020-08-03T01:08:52-07:00	http://infectiousdiseaseontology.org	http://infectiousdiseaseontology.org/page/Publications	http://infectiousdiseaseontology.org	8-3-20	TRUE	TRUE
MARC-RELATORS	https://data.bioontology.org/ontologies/MARC-RELATORS	http://data.bioontology.org/metadata/Ontology	Ontology	MARC Code List for Relators	FALSE	Relator terms and their associated codes designate the relationship between a name and a bibliographic resource. The relator codes are three-character lowercase alphabetic strings that serve as identifiers. Either the term or the code may be used as controlled values.	2		SKOS	2018-05-07T00:00:00+00:00	2018-05-08T11:09:43-07:00					TRUE	TRUE
CDPEO	https://data.bioontology.org/ontologies/CDPEO	http://data.bioontology.org/metadata/Ontology	Ontology	Chronic Disease Patient Education Ontology	FALSE	This ontology is used to recommend personalized education materials to chronic disease patients. The constructed ontology mainly consists of two levels. Level 1 includes 5 terms: demographic, disease, vital sign, lifestyle and medication, which describe the characteristics contained in the patient data, as well as the topics of education materials. Leve 2 contains the detailed elements for each Level 1 class. The patient profile class is used to generate the instance of patient data, using object properties to connect to the specific characteristic class. The patient data will be mapped to a vector space generated from the Level 2 classes. SWRL rules are added to implement the semantic logic of mapping from patient original data to the ontology vector space. The pulblication of the ontology is in preperation.	40	Health	OWL	2019-12-18T00:00:00+00:00	2019-12-18T04:12:32-08:00				1.0.0	TRUE	TRUE
FB-CV	https://data.bioontology.org/ontologies/FB-CV	http://data.bioontology.org/metadata/Ontology	Ontology	FlyBase Controlled Vocabulary	FALSE	A structured controlled vocabulary used for various aspects of annotation by FlyBase. It includes the Drosophila Phenotype Ontology (DPO) which is also released separately. This ontology is maintained by FlyBase for various aspects of annotation not covered, or not yet covered, by other OBO ontologies. If and when community ontologies are available for the domains here covered FlyBase will use them.	2190	Vocabularies	OWL	2021-07-15T18:04:06-07:00	2021-07-15T18:04:09-07:00	http://purl.obolibrary.org/obo/fbcv		http://purl.obolibrary.org/obo/fbcv	2021-07-15	TRUE	TRUE
ILLNESSINJURY	https://data.bioontology.org/ontologies/ILLNESSINJURY	http://data.bioontology.org/metadata/Ontology	Ontology	Illness and Injury	FALSE	"This list of Illness and Injury (Morbidity and Mortality) classifications is an abbreviated version of the World Health Organization's (WHO) Startup Mortality List (ICD-10-SMoL).  ICD-10-SMoL is the WHO's application of ICD-10 for low-resource settings initial cause of death collection.

ICD-10-SMoL was chosen because it is a simplified version of the ICD-10.
ICD (International Classification of Diseases) ""is the foundation for the identification of health trends and statistics globally, and the international standard for reporting diseases and health conditions. It is the diagnostic classification standard for all clinical and research purposes. ICD defines the universe of diseases, disorders, injuries and other related health conditions"" [http://www.who.int/classifications/icd/en/].

Version 1.0 of this ontology was compiled for the Canadian Writing Research Collaboratory (CWRC) ontology project and reflects the need to have causes of death and health issues organized in a way to allow for analysis of cultural data.  A simplified list was deemed sufficient since the domain under study (cultural documents) will not have detailed medical information with regards to cause of death or health issues.  But instead of accepting a list of general usage terms for causes of death or health issues that appear in some sources (e.g. Wikipedia, Wikidatak, etc.), a standardized, medical classification was selected so that it could be of use for future analysis regarding questions involving the intersection of health and culture.

ICD-10-SMoL was chosen since it was the latest version of this list (June, 2018).  A stable version of ICD-11 was to be available in June 2018 but there was no ICD-11-SMoL available at this time.

To obtain the ICD10-SMoL:
http://www.who.int/healthinfo/civil_registration/ICD_10_SMoL.pdf?ua=1"	21	Taxonomic Classification|Health|Human	OWL	2018-07-22T00:00:00+00:00	2018-07-22T14:52:48-07:00				1.0.2	TRUE	TRUE
NIFDYS	https://data.bioontology.org/ontologies/NIFDYS	http://data.bioontology.org/metadata/Ontology	Ontology	Neuroscience Information Framework (NIF) Dysfunction Ontlogy	FALSE	This ontology contains the former BIRNLex-Disease, version 1.3.2. -- The BIRN Project lexicon will provide entities for data and database annotation for the BIRN project, covering anatomy, disease, data collection, project management and experimental design.  It is built using the organizational framework provided by the foundational Basic Formal Ontology (BFO).  It uses an abstract biomedical layer on top of that - OBO-UBO which has been constructed  as a proposal to the OBO Foundry.  This is meant to support creating a sharable view of core biomedical objects such as biomaterial_entity, and organismal_entity that all biomedical ontologies are likely to need and want to use with the same intended meaning.  The BIRNLex biomaterial entities have already been factored to separately maintained ontology - BIRNLexBiomaterialEntity.owl which this BIRNLex-Main.owl file imports.  The Ontology of Biomedical Investigation (OBI) is also imported and forms the foundation for the formal description of all experiment-related artifacts.  The BIRNLex will serve as the basis for construction of a formal ontology for the multiscale investigation of neurological disease.	3531		OWL	2018-04-11T18:08:58-07:00	2018-04-11T18:08:58-07:00	http://neuinfo.org/		http://neuinfo.org/about/vocabularies.shtml	1.5 (December, 2012)	TRUE	TRUE
RCTV2	https://data.bioontology.org/ontologies/RCTV2	http://data.bioontology.org/metadata/Ontology	Ontology	Read Clinical Terminology Version 2	FALSE	NHS UK Read Codes Version 2	88854	Health	OWL	2016-04-11T00:00:00+00:00	2016-04-08T02:01:27-07:00				2015	TRUE	TRUE
EMAPA	https://data.bioontology.org/ontologies/EMAPA	http://data.bioontology.org/metadata/Ontology	Ontology	Mouse gross anatomy and development, timed	FALSE	Abstract (i.e. non-stage specific) stage-specific anatomical structures of the mouse.	8643	Anatomy	OWL	2020-02-12T18:04:27-08:00	2020-02-12T18:04:33-08:00	http://emouseatlas.org/				TRUE	TRUE
ONTOAD	https://data.bioontology.org/ontologies/ONTOAD	http://data.bioontology.org/metadata/Ontology	Ontology	Bilingual Ontology of Alzheimer's Disease and Related Diseases	FALSE	OntoAD is a bilingual (English-French) domain ontology for modeling knowledge about Alzheimer's Disease and Related Syndromes.	5899	Health|Dysfunction|Neurologic Disease|Neurological Disorder|Human	OWL	2013-08-10T00:00:00+00:00	2013-12-02T10:00:14-08:00				1.0	TRUE	TRUE
TMA	https://data.bioontology.org/ontologies/TMA	http://data.bioontology.org/metadata/Ontology	Ontology	Tissue Microarray Ontology	FALSE	Tissue microarrays (TMA) are enormously useful tools for translational research, but incompatibilities in database systems between various researchers and institutions prevent the efficient sharing of data that could help realize their full potential.  The Resource Description Framework (RDF) provides a flexible method to represent knowledge in triples, which take the form Subject-Predicate-Object.  All data resources are described using Uniform Resource Identifiers (URI), which are global in scope.  We present an OWL (Web Ontology Language) schema that expands upon the TMA data exchange specification to address this issue and assist in data sharing and integration.	7	Experimental Conditions|Biomedical Resources|Other	OWL	2010-05-07T00:00:00-07:00	2010-05-07T11:57:44-07:00				1.0.0	TRUE	TRUE
HIVMT	https://data.bioontology.org/ontologies/HIVMT	http://data.bioontology.org/metadata/Ontology	Ontology	HIVMutation	FALSE	This is an ontology about the mutations Of HIV1 and the relations between them and the clinical practices. And it has imported the main ontology: https://bioportal.bioontology.org/ontologies/HIVO004. 	161	Biomedical Resources	OWL	2020-09-23T00:00:00+00:00	2020-11-05T16:19:40-08:00	https://blog.51.ca/u-345129/			01	TRUE	TRUE
HIVO004	https://data.bioontology.org/ontologies/HIVO004	http://data.bioontology.org/metadata/Ontology	Ontology	HIVOntologymain.owl	FALSE	"A Project Of Biomedical Ontology for Systems Biomedicine

The Project includes so far a main ontology (HIVOnt0**.owl) which is imported by several sub ontologies AIDSClinic0**.owl, HumanGeneCodon0**.owl, HIVCompd*****.owl, HIVGenetics***.owl.

The goals of the Project of HIV Ontology(PHIVO) for Knowledge Integrations include 
 
1. Providing AIDS clinics and HIV virology and the future biomedicines, including the Systems Biomedicine(SBM), the Precision Biomedicine(PBM) and the Knowledge-Integrated Biomedicine(KIMB), with the knowledge resources expressed in the way of ontology, which is able to be operated on engineering ground. 
2. Carrying out the methodology researches for the goals above. "	1765	Immunology|Taxonomic Classification|Molecule|Health|Dysfunction|Biomedical Resources|Biological Process|Subcellular|Protein	OWL	2020-10-07T00:00:00+00:00	2020-11-05T15:04:44-08:00	http://blog.51.ca/u-345129/			018	TRUE	TRUE
SIO	https://data.bioontology.org/ontologies/SIO	http://data.bioontology.org/metadata/Ontology	Ontology	Semanticscience Integrated Ontology	FALSE	The semanticscience integrated ontology (SIO) provides a simple, integrated upper level ontology (types, relations) for consistent knowledge representation across physical, processual and informational entities. It provides vocabulary for the Bio2RDF (http://bio2rdf.org) and SADI (http://sadiframework.org) projects.	1572	Yeast|All Organisms|Cellular anatomy |Taxonomic Classification|Molecule|Biomedical Resources|Genomic and Proteomic|Biological Process|Subcellular|Phenotype|Subcellular anatomy|Chemical|Cell|Protein|Gene Product|Vocabularies|Physicochemical	OWL	2021-07-06T18:19:23-07:00	2021-07-06T18:19:26-07:00	http://sio.semanticscience.org	http://sio.semanticscience.org	http://sio.semanticscience.org	1.53	TRUE	TRUE
PSIMOD	https://data.bioontology.org/ontologies/PSIMOD	http://data.bioontology.org/metadata/Ontology	Ontology	Protein Modification Ontology	FALSE	PSI-MOD is an ontology consisting of terms that describe protein chemical modifications, logically linked by an is_a relationship in such a way as to form a direct acyclic graph (DAG). The PSI-MOD ontology has more than 45 top-level nodes, and provides alternative hierarchical paths for classifying protein modifications either by the molecular structure of the modification, or by the amino acid residue that is modified.	2098		OBO	2021-03-10T18:13:36-08:00	2021-03-10T18:13:41-08:00	http://www.psidev.info/MOD			1.013.0	TRUE	TRUE
RPO	https://data.bioontology.org/ontologies/RPO	http://data.bioontology.org/metadata/Ontology	Ontology	Resource of Asian Primary Immunodeficiency Diseases (RAPID) Phenotype Ontology	FALSE	RAPID phenotype ontology presents controlled vocabulary of ontology class structures and entities of observed phenotypic terms for primary immunodeficiency diseases (PIDs) that facilitate global sharing and free exchange of PID data with users’ communities	1545	Immunology|Phenotype|Human	OWL	2012-08-14T00:00:00-07:00	2012-08-13T22:42:17-07:00	http://rapid.rcai.riken.jp/ontology/v1.0/phenomer.php			Version 1.0	TRUE	TRUE
BIRNLEX	https://data.bioontology.org/ontologies/BIRNLEX	http://data.bioontology.org/metadata/Ontology	Ontology	Biomedical Informatics Research Network Project Lexicon	FALSE	The BIRN Project lexicon will provide entities for data and database annotation for the BIRN project, covering anatomy, disease, data collection, project management and experimental design.	3580	Imaging|Anatomy	OWL	2007-08-08T00:00:00-07:00	2008-03-24T17:39:39-07:00	http://xwiki.nbirn.net:8080/xwiki/bin/view/%20BIRN-OTF-Public/Home			1.3.1	TRUE	TRUE
CHEAR	https://data.bioontology.org/ontologies/CHEAR	http://data.bioontology.org/metadata/Ontology	Ontology	Children's Health Exposure Analysis Resource	FALSE	Children's health and wellbeing are influenced by interactions between environmental and genetic factors. NIEHS is establishing an infrastructure, the Children's Health Exposure Analysis Resource (CHEAR), to provide the extramural research community access to laboratory and data analyses that add or expand the inclusion of environmental exposures in children's health research. The goal of CHEAR is to provide tools so researchers can assess the full range of environmental exposures which may affect children's health. We anticipate that CHEAR will be used by children's health researchers conducting epidemiological or clinical studies that currently have limited consideration of environmental exposures, or those who have collected exposure data but seek more extensive analyses.	10242	Health|Human	OWL	2019-09-10T00:00:00+00:00	2019-09-10T13:13:01-07:00				2.8	TRUE	TRUE
PW	https://data.bioontology.org/ontologies/PW	http://data.bioontology.org/metadata/Ontology	Ontology	Pathway Ontology	FALSE	"The goal of the Pathway Ontology is to cover all types of biological pathways, including altered and disease pathways, and to capture the relationships between them within the hierarchical structure of a Directed Acyclic Graph (DAG). The five nodes of the ontology are: classic metabolic, regulatory, signaling, drug and disease pathways. An extensive survey of the review literature along with searches of existing pathway databases have been used to choose terms and their position within the tree. The ontology is continually expanding along with the development of Pathway and Disease Portals at RGD. Mapping of pathways in other databases to terms in PW as synonyms further increased the content of the ontology. It also provided the means to bring in annotations made by these databases and link to their sites via automatic pipelines built at RGD. The ontology allows for the standardized annotation of rat as well as human and mouse genes to pathway terms. It also serves as a vehicle to connect between genes and ontology reports, between reports and interactive pathway diagrams, between pathways that directly connect to one another within a diagram or between pathways that in some fashion are globally related in pathway suites and suite networks. Metabolic, regulatory or signaling pathway terms have associated terms for the altered version of the pathway and the level at which the alteration(s) may occur. Proteins with mutations known to affect a particular pathway can be annotated to the normal and altered version(s) of the pathway and to a disease pathway, if known. Both the provision of terms for the altered versions of pathways and the representation of disease pathway diagrams as a collection of altered pathways are unique to the PW ontology and RGD's pathway data.
The Pathway ontology is distributed under the terms of the Creative Commons Attribution license version 3.0 Unported (CC BY 3.0), see
http://creativecommons.org/licenses/by/3.0 for details. "	2833	Biological Process	OBO	2021-04-05T18:12:50-07:00	2021-04-05T18:12:53-07:00	ftp://ftp.rgd.mcw.edu/pub/ontology/pathway/	http://rgd.mcw.edu/wg/home/pathway2/molecular-pathways/#pwrpubs	http://rgd.mcw.edu/wg/home/pathway2?100	7.61	TRUE	TRUE
GDCO	https://data.bioontology.org/ontologies/GDCO	http://data.bioontology.org/metadata/Ontology	Ontology	Data Collection Ontology	FALSE	"The Data Collection Ontology (DCO) is an ontology designed for data collection providing classes and relations on top of the Basic Formal Ontology (BFO) to facilitate data collection processes, subjects, and data anaylsis through the use of classifiers.

DCO is based on the notion of reasoning to validate incoming data through their definitions based on classifiers."	73	Development	OWL	2017-08-09T00:00:00+00:00	2017-08-09T14:32:29-07:00				1.0	TRUE	TRUE
FAST-EVENT-NT	https://data.bioontology.org/ontologies/FAST-EVENT-NT	http://data.bioontology.org/metadata/Ontology	Ontology	FAST Event facet (nt test)	FALSE	test of submitting FAST Event facet as n-triples, since that's how OCLC publishes it	0		SKOS	2017-04-14T00:00:00+00:00	2017-08-31T11:42:49-07:00					FALSE	FALSE
HOOM	https://data.bioontology.org/ontologies/HOOM	http://data.bioontology.org/metadata/Ontology	Ontology	HPO - ORDO Ontological Module	FALSE	"Orphanet provides phenotypic annotations of the rare diseases in the Orphanet nomenclature using the Human Phenotype Ontology (HPO). HOOM is a module that qualifies the annotation between a clinical entity and phenotypic abnormalities according to a frequency and by integrating the notion of diagnostic criterion. In ORDO a clinical entity is either a group of rare disorders, a rare disorder or a subtype of disorder. The phenomes branch of ORDO has been refactored as a logical import of HPO, and the HPO-ORDO phenotype disease-annotations have been provided in a series of triples in OBAN format in which associations, frequency and provenance are modeled.

HOOM is provided as an OWL (Ontologies Web Languages) file, using OBAN, the Orphanet Rare Disease Ontology (ORDO), and HPO ontological models.

HOOM provides extra possibilities for researchers, pharmaceutical companies and others wishing to co-analyse rare and common disease phenotype associations, or re-use the integrated ontologies in genomic variants repositories or match-making tools. "	117828	Health|Biomedical Resources|Phenotype|Human	OWL	2021-01-05T18:06:09-08:00	2021-01-05T18:06:48-08:00	http://www.orphadata.org/cgi-bin/inc/hoom_orphanet.inc.php		http://www.orphadata.org/cgi-bin/index.php#ontologies	1.5	TRUE	TRUE
BIPON	https://data.bioontology.org/ontologies/BIPON	http://data.bioontology.org/metadata/Ontology	Ontology	Bacterial interlocked Process ONtology	FALSE	"BiPON is an ontology permitting a multi-scale systemic representation of bacterial cellular
processes and the coupling to their mathematical models. BiPON is further composed of two sub-
ontologies, bioBiPON and modelBiPON. bioBiPON aims at organizing the systemic description of
biological information while modelBiPON aims at describing the mathematical models (including
parameters) associated to each biological process."	1746	Biological Process	OWL	2017-11-09T00:00:00+00:00	2017-11-08T23:04:45-08:00				2017-11-08-bis	TRUE	TRUE
MI	https://data.bioontology.org/ontologies/MI	http://data.bioontology.org/metadata/Ontology	Ontology	Molecular Interactions	FALSE	A structured controlled vocabulary for the annotation of experiments concerned with protein-protein interactions. Developed by the HUPO Proteomics Standards Initiative.	1616		OBO	2021-08-03T18:08:25-07:00	2021-08-03T18:08:27-07:00	https://github.com/HUPO-PSI/psi-mi-CV		http://psidev.info/groups/molecular-interactions		TRUE	TRUE
CTENO	https://data.bioontology.org/ontologies/CTENO	http://data.bioontology.org/metadata/Ontology	Ontology	Ctenophore Ontology	FALSE	An anatomical and developmental ontology for ctenophores (Comb Jellies)	648	Anatomy	OWL	2016-10-19T00:00:00+00:00	2017-09-20T13:08:58-07:00	https://github.com/obophenotype/ctenophore-ontology				TRUE	TRUE
GBM	https://data.bioontology.org/ontologies/GBM	http://data.bioontology.org/metadata/Ontology	Ontology	Glioblastoma	FALSE	Ontology of Glioblastoma	109	Health|Anatomy|Human	OWL	2015-08-27T00:00:00+00:00	2015-08-27T14:56:32-07:00					TRUE	TRUE
OGSF	https://data.bioontology.org/ontologies/OGSF	http://data.bioontology.org/metadata/Ontology	Ontology	Ontology for Genetic Susceptibility Factor	FALSE	Ontology for Genetic Susceptibility Factor (OGSF) is an application ontology to model/represent the notion of genetic susceptibility to a specific disease or an adverse event or a pathological biological process. It is developed using BFO2.0's framwork. The ontology is under the domain of genetic epidemiology.	389	Health|Genomic and Proteomic|Human	OWL	2019-03-15T18:14:43-07:00	2019-03-15T18:14:45-07:00	https://code.google.com/p/ogsf/			2.0	TRUE	TRUE
OBOREL	https://data.bioontology.org/ontologies/OBOREL	http://data.bioontology.org/metadata/Ontology	Ontology	Relations Ontology	FALSE	A collection of relations intended primarily for standardization across ontologies in the OBO Foundry and wider OBO library. It incorporates ROCore upper-level relations such as part of as well as biology-specific relationship types such as develops from.	69		OWL	2021-08-05T18:12:28-07:00	2021-08-05T18:12:32-07:00	https://github.com/oborel/obo-relations/				TRUE	TRUE
RO	https://data.bioontology.org/ontologies/RO	http://data.bioontology.org/metadata/Ontology	Ontology	Radiomics Ontology	FALSE	"The Radiomics Ontology aims to cover the radiomics feature domain with a strong focus on first order, shape, textural radiomics features. In addition, in the original version. it includes classes about segmentation algorithms and imaging filters.
Due to a recent collaboration with the IBSI (International Biomarkers Standardization Initiative), the ontology has been expanded (v 1.6) and it includes all the entities presented in the IBSI document. Therefore, a broad coverage of not only radiomics features, but also every entity (e.g. software properties, filter properties, features extraction parameters) involved into radiomics computation has been added. In the latest version (v2.0), the ontology URIs have been updated to reflect the codes avaialble in the IBSI latest manual"	458	Imaging|Biomedical Resources	OWL	2017-08-29T00:00:00+00:00	2019-08-27T02:17:22-07:00				2.1	TRUE	TRUE
